"","Sample.name","Sex","Phase","Brood.date","Sample","Tank","File.name.ind.geno","MajorMinor"
"164","F2.CLEAR.8.17","B",2,"8.17","CLEAR","F2","Ind99.1","AB"
"165","F2.CLEAR.8.17","B",2,"8.17","CLEAR","F2","Ind99.2","BB"
"166","F2.ORANGE.7.26","B",2,"7.26","ORANGE","F2","Ind109","AA"
"167","F2.ORANGE.7.26","B",2,"7.26","ORANGE","F2","Ind109.1","AB"
"168","F2.ORANGE.7.26","B",2,"7.26","ORANGE","F2","Ind109.2","BB"
"169","G2.CLEAR.8.17","B",2,"8.17","CLEAR","G2","Ind135","AA"
"170","G2.CLEAR.8.17","B",2,"8.17","CLEAR","G2","Ind135.1","AB"
"171","G2.CLEAR.8.17","B",2,"8.17","CLEAR","G2","Ind135.2","BB"
"172","G2.GREY.7.27_A","B",2,"7.27_A","GREY","G2","Ind130","AA"
"173","G2.GREY.7.27_A","B",2,"7.27_A","GREY","G2","Ind130.1","AB"
"174","G2.GREY.7.27_A","B",2,"7.27_A","GREY","G2","Ind130.2","BB"
"175","G2.GREY.7.27_B","B",2,"7.27_B","GREY","G2","Ind142","AA"
"176","G2.GREY.7.27_B","B",2,"7.27_B","GREY","G2","Ind142.1","AB"
"177","G2.GREY.7.27_B","B",2,"7.27_B","GREY","G2","Ind142.2","BB"
"178","G2.LIGHTPURPLE.7.10","B",2,"7.10","LIGHTPURPLE","G2","Ind96","AA"
"179","G2.LIGHTPURPLE.7.10","B",2,"7.10","LIGHTPURPLE","G2","Ind96.1","AB"
"180","G2.LIGHTPURPLE.7.10","B",2,"7.10","LIGHTPURPLE","G2","Ind96.2","BB"
"181","G2.ORANGE.8.23","B",2,"8.23","ORANGE","G2","Ind134","AA"
"182","G2.ORANGE.8.23","B",2,"8.23","ORANGE","G2","Ind134.1","AB"
"183","G2.ORANGE.8.23","B",2,"8.23","ORANGE","G2","Ind134.2","BB"
"184","G2.TAN.7.27","B",2,"7.27","TAN","G2","Ind106","AA"
"185","G2.TAN.7.27","B",2,"7.27","TAN","G2","Ind106.1","AB"
"186","G2.TAN.7.27","B",2,"7.27","TAN","G2","Ind106.2","BB"
"187","G2.TEAL.7.27","B",2,"7.27","TEAL","G2","Ind118","AA"
"188","G2.TEAL.7.27","B",2,"7.27","TEAL","G2","Ind118.1","AB"
"189","G2.TEAL.7.27","B",2,"7.27","TEAL","G2","Ind118.2","BB"
"190","GREEN_A.B2","M",2,NA,"GREEN_A","B2","Ind76","AA"
"191","GREEN_A.B2","M",2,NA,"GREEN_A","B2","Ind76.1","AB"
"192","GREEN_A.B2","M",2,NA,"GREEN_A","B2","Ind76.2","BB"
"193","GREEN_B.B2","M",2,NA,"GREEN_B","B2","Ind88","AA"
"194","GREEN_B.B2","M",2,NA,"GREEN_B","B2","Ind88.1","AB"
"195","GREEN_B.B2","M",2,NA,"GREEN_B","B2","Ind88.2","BB"
"196","GREEN.C2","M",2,NA,"GREEN","C2","Ind24","AA"
"197","GREEN.C2","M",2,NA,"GREEN","C2","Ind24.1","AB"
"198","GREEN.C2","M",2,NA,"GREEN","C2","Ind24.2","BB"
"199","GREEN.D2","M",2,NA,"GREEN","D2","Ind22","AA"
"200","GREEN.D2","M",2,NA,"GREEN","D2","Ind22.1","AB"
"201","GREEN.D2","M",2,NA,"GREEN","D2","Ind22.2","BB"
"202","GREEN.E2","M",2,NA,"GREEN","E2","Ind85","AA"
"203","GREEN.E2","M",2,NA,"GREEN","E2","Ind85.1","AB"
"204","GREEN.E2","M",2,NA,"GREEN","E2","Ind85.2","BB"
"205","GREEN.F2","M",2,NA,"GREEN","F2","Ind66","AA"
"206","GREEN.F2","M",2,NA,"GREEN","F2","Ind66.1","AB"
"207","GREEN.F2","M",2,NA,"GREEN","F2","Ind66.2","BB"
"208","GREEN.G2","M",2,NA,"GREEN","G2","Ind8","AA"
"209","GREEN.G2","M",2,NA,"GREEN","G2","Ind8.1","AB"
"210","GREEN.G2","M",2,NA,"GREEN","G2","Ind8.2","BB"
"211","GREEN.I5B","F",1,NA,"GREEN","I5B","Ind11","AA"
"212","GREEN.I5B","F",1,NA,"GREEN","I5B","Ind11.1","AB"
"213","GREEN.I5B","F",1,NA,"GREEN","I5B","Ind11.2","BB"
"214","GREY_A.B5B","M",1,NA,"GREY_A","B5B","Ind83","AA"
"215","GREY_A.B5B","M",1,NA,"GREY_A","B5B","Ind83.1","AB"
"216","GREY_A.B5B","M",1,NA,"GREY_A","B5B","Ind83.2","BB"
"217","GREY.B2","F",2,NA,"GREY","B2","Ind46","AA"
"218","GREY.B2","F",2,NA,"GREY","B2","Ind46.1","AB"
"219","GREY.B2","F",2,NA,"GREY","B2","Ind46.2","BB"
"220","GREY_B.B5B","M",1,NA,"GREY_B","B5B","Ind95","AA"
"221","GREY_B.B5B","M",1,NA,"GREY_B","B5B","Ind95.1","AB"
"222","GREY_B.B5B","M",1,NA,"GREY_B","B5B","Ind95.2","BB"
"223","GREY.C2","F",2,NA,"GREY","C2","Ind55","AA"
"224","GREY.C2","F",2,NA,"GREY","C2","Ind55.1","AB"
"225","GREY.C2","F",2,NA,"GREY","C2","Ind55.2","BB"
"226","GREY.E2","F",2,NA,"GREY","E2","Ind70","AA"
"227","GREY.E2","F",2,NA,"GREY","E2","Ind70.1","AB"
"228","GREY.E2","F",2,NA,"GREY","E2","Ind70.2","BB"
"229","GREY.G2","F",2,NA,"GREY","G2","Ind28","AA"
"230","GREY.G2","F",2,NA,"GREY","G2","Ind28.1","AB"
"231","GREY.G2","F",2,NA,"GREY","G2","Ind28.2","BB"
"232","GREY.I4B","M",1,NA,"GREY","I4B","Ind9","AA"
"233","GREY.I4B","M",1,NA,"GREY","I4B","Ind9.1","AB"
"234","GREY.I4B","M",1,NA,"GREY","I4B","Ind9.2","BB"
"235","GREY.I5B","M",1,NA,"GREY","I5B","Ind33","AA"
"236","GREY.I5B","M",1,NA,"GREY","I5B","Ind33.1","AB"
"237","GREY.I5B","M",1,NA,"GREY","I5B","Ind33.2","BB"
"238","I4A.BLUE.6.7_A","B",1,"6.7_A","BLUE","I4A","Ind129","AA"
"239","I4A.BLUE.6.7_A","B",1,"6.7_A","BLUE","I4A","Ind129.1","AB"
"240","I4A.BLUE.6.7_A","B",1,"6.7_A","BLUE","I4A","Ind129.2","BB"
"241","I4A.BLUE.6.7_B","B",1,"6.7_B","BLUE","I4A","Ind141","AA"
"242","I4A.BLUE.6.7_B","B",1,"6.7_B","BLUE","I4A","Ind141.1","AB"
"243","I4A.BLUE.6.7_B","B",1,"6.7_B","BLUE","I4A","Ind141.2","BB"
"244","I4A.PURPLE.6.14_A","B",1,"6.14_A","PURPLE","I4A","Ind131","AA"
"245","I4A.PURPLE.6.14_A","B",1,"6.14_A","PURPLE","I4A","Ind131.1","AB"
"246","I4A.PURPLE.6.14_A","B",1,"6.14_A","PURPLE","I4A","Ind131.2","BB"
"247","I4A.PURPLE.6.14_B","B",1,"6.14_B","PURPLE","I4A","Ind143","AA"
"248","I4A.PURPLE.6.14_B","B",1,"6.14_B","PURPLE","I4A","Ind143.1","AB"
"249","I4A.PURPLE.6.14_B","B",1,"6.14_B","PURPLE","I4A","Ind143.2","BB"
"250","I4A.YELLOW.7.6_A","B",1,"7.6_A","YELLOW","I4A","Ind124","AA"
"251","I4A.YELLOW.7.6_A","B",1,"7.6_A","YELLOW","I4A","Ind124.1","AB"
"252","I4A.YELLOW.7.6_A","B",1,"7.6_A","YELLOW","I4A","Ind124.2","BB"
"253","I4A.YELLOW.7.6_B","B",1,"7.6_B","YELLOW","I4A","Ind136","AA"
"254","I4A.YELLOW.7.6_B","B",1,"7.6_B","YELLOW","I4A","Ind136.1","AB"
"255","I4A.YELLOW.7.6_B","B",1,"7.6_B","YELLOW","I4A","Ind136.2","BB"
"256","I4B.RED.6.19","B",1,"6.19","RED","I4B","Ind119","AA"
"257","I4B.RED.6.19","B",1,"6.19","RED","I4B","Ind119.1","AB"
"258","I4B.RED.6.19","B",1,"6.19","RED","I4B","Ind119.2","BB"
"259","I4B.RED.7.31_A","B",1,"7.31_A","RED","I4B","Ind126","AA"
"260","I4B.RED.7.31_A","B",1,"7.31_A","RED","I4B","Ind126.1","AB"
"261","I4B.RED.7.31_A","B",1,"7.31_A","RED","I4B","Ind126.2","BB"
"262","I4B.RED.7.31_B","B",1,"7.31_B","RED","I4B","Ind138","AA"
"263","I4B.RED.7.31_B","B",1,"7.31_B","RED","I4B","Ind138.1","AB"
"264","I4B.RED.7.31_B","B",1,"7.31_B","RED","I4B","Ind138.2","BB"
"265","I4C.PINK.6.7","B",1,"6.7","PINK","I4C","Ind117","AA"
"266","I4C.PINK.6.7","B",1,"6.7","PINK","I4C","Ind117.1","AB"
"267","I4C.PINK.6.7","B",1,"6.7","PINK","I4C","Ind117.2","BB"
"268","I5A.BLUE.6.7","B",1,"6.7","BLUE","I5A","Ind105","AA"
"269","I5A.BLUE.6.7","B",1,"6.7","BLUE","I5A","Ind105.1","AB"
"270","I5A.BLUE.6.7","B",1,"6.7","BLUE","I5A","Ind105.2","BB"
"271","I5A.PURPLE.5.27_A","B",1,"5.27_A","PURPLE","I5A","Ind125","AA"
"272","I5A.PURPLE.5.27_A","B",1,"5.27_A","PURPLE","I5A","Ind125.1","AB"
"273","I5A.PURPLE.5.27_A","B",1,"5.27_A","PURPLE","I5A","Ind125.2","BB"
"274","I5A.PURPLE.5.27_B","B",1,"5.27_B","PURPLE","I5A","Ind137","AA"
"275","I5A.PURPLE.5.27_B","B",1,"5.27_B","PURPLE","I5A","Ind137.1","AB"
"276","I5A.PURPLE.5.27_B","B",1,"5.27_B","PURPLE","I5A","Ind137.2","BB"
"277","I5B.GREEN.7.31","B",1,"7.31","GREEN","I5B","Ind102","AA"
"278","I5B.GREEN.7.31","B",1,"7.31","GREEN","I5B","Ind102.1","AB"
"279","I5B.GREEN.7.31","B",1,"7.31","GREEN","I5B","Ind102.2","BB"
"280","I5B.RED.7.31","B",1,"7.31","RED","I5B","Ind114","AA"
"281","I5B.RED.7.31","B",1,"7.31","RED","I5B","Ind114.1","AB"
"282","I5B.RED.7.31","B",1,"7.31","RED","I5B","Ind114.2","BB"
"283","LIGHTBLUE.B2","F",2,NA,"LIGHTBLUE","B2","Ind36","AA"
"284","LIGHTBLUE.B2","F",2,NA,"LIGHTBLUE","B2","Ind36.1","AB"
"285","LIGHTBLUE.B2","F",2,NA,"LIGHTBLUE","B2","Ind36.2","BB"
"286","LIGHTBLUE.C2","F",2,NA,"LIGHTBLUE","C2","Ind63","AA"
"287","LIGHTBLUE.C2","F",2,NA,"LIGHTBLUE","C2","Ind63.1","AB"
"288","LIGHTBLUE.C2","F",2,NA,"LIGHTBLUE","C2","Ind63.2","BB"
"289","LIGHTBLUE.E2","F",2,NA,"LIGHTBLUE","E2","Ind79","AA"
"290","LIGHTBLUE.E2","F",2,NA,"LIGHTBLUE","E2","Ind79.1","AB"
"291","LIGHTBLUE.E2","F",2,NA,"LIGHTBLUE","E2","Ind79.2","BB"
"292","LIGHTPURPLE.G2","F",2,NA,"LIGHTPURPLE","G2","Ind32","AA"
"293","LIGHTPURPLE.G2","F",2,NA,"LIGHTPURPLE","G2","Ind32.1","AB"
"294","LIGHTPURPLE.G2","F",2,NA,"LIGHTPURPLE","G2","Ind32.2","BB"
"295","ORANGE.B2","F",2,NA,"ORANGE","B2","Ind30","AA"
"296","ORANGE.B2","F",2,NA,"ORANGE","B2","Ind30.1","AB"
"297","ORANGE.B2","F",2,NA,"ORANGE","B2","Ind30.2","BB"
"298","ORANGE.C2","F",2,NA,"ORANGE","C2","Ind3","AA"
"299","ORANGE.C2","F",2,NA,"ORANGE","C2","Ind3.1","AB"
"300","ORANGE.C2","F",2,NA,"ORANGE","C2","Ind3.2","BB"
"301","ORANGE.D2","F",2,NA,"ORANGE","D2","Ind26","AA"
"302","ORANGE.D2","F",2,NA,"ORANGE","D2","Ind26.1","AB"
"303","ORANGE.D2","F",2,NA,"ORANGE","D2","Ind26.2","BB"
"304","ORANGE.F2","F",2,NA,"ORANGE","F2","Ind52","AA"
